1765470308.21,94.0
1765470308.37,101.0
1765470308.54,113.0
1765470308.70,114.0
1765470308.87,115.0
1765470309.03,141.0
1765470309.20,139.0
1765470309.36,138.0
1765470309.53,150.0
1765470309.69,154.0
1765470309.86,151.0
1765470310.02,150.0
1765470310.18,146.0
1765470310.35,127.0
1765470310.51,130.0
1765470310.68,128.0
1765470310.84,116.0
1765470311.01,112.0
1765470311.17,114.0
1765470311.34,115.0
1765470311.50,120.0
1765470311.67,120.0
1765470311.83,117.0
1765470312.00,117.0
1765470312.16,115.0
1765470312.33,117.0
1765470312.49,118.0
1765470312.66,118.0
1765470312.82,119.0
1765470312.99,118.0
1765470313.15,120.0
1765470313.32,122.0
1765470313.48,123.0
1765470313.65,123.0
1765470313.81,121.0
1765470313.98,121.0
1765470314.14,121.0
1765470314.31,119.0
1765470314.47,119.0
1765470314.63,119.0
1765470314.80,119.0
1765470314.96,120.0
1765470315.13,119.0
1765470315.29,119.0
1765470315.46,119.0
1765470315.62,122.0
1765470315.79,122.0
1765470315.95,122.0
1765470316.12,122.0
1765470316.28,122.0
1765470316.45,122.0
1765470316.61,122.0
1765470316.78,121.0
1765470316.94,123.0
1765470317.11,120.0
1765470317.27,119.0
1765470317.44,119.0
1765470317.60,116.0
1765470317.77,115.0
1765470317.93,115.0
1765470318.10,113.0
1765470318.26,110.0
1765470318.43,110.0
1765470318.59,118.0
1765470318.75,117.0
1765470318.92,121.0
1765470319.08,120.0
1765470319.25,127.0
1765470319.41,131.0
1765470319.58,131.0
1765470319.74,132.0
1765470319.91,126.0
1765470320.07,125.0
1765470320.24,124.0
1765470320.40,126.0
1765470320.57,121.0
1765470320.73,117.0
1765470320.90,119.0
1765470321.06,120.0
1765470321.23,119.0
1765470321.39,120.0
1765470321.56,118.0
1765470321.72,117.0
1765470321.89,115.0
1765470322.05,115.0
1765470322.22,116.0
1765470322.38,115.0
1765470322.55,117.0
1765470322.71,117.0
1765470322.87,121.0
1765470323.04,119.0
1765470323.20,120.0
1765470323.37,131.0
1765470323.53,132.0
1765470323.70,130.0
1765470323.86,128.0
1765470324.03,126.0
1765470324.19,126.0
1765470324.36,126.0
1765470324.52,125.0
1765470324.69,116.0
1765470324.85,117.0
1765470325.02,120.0
1765470325.18,121.0
1765470325.35,122.0
1765470325.51,122.0
1765470325.68,121.0
1765470325.84,121.0
1765470326.01,120.0
1765470326.17,117.0
1765470326.34,117.0
1765470326.50,117.0
1765470326.67,116.0
1765470326.83,114.0
1765470327.00,115.0
1765470327.16,135.0
1765470327.32,135.0
1765470327.49,137.0
1765470327.65,133.0
1765470327.82,134.0
1765470327.98,134.0
1765470328.15,135.0
1765470328.31,142.0
1765470328.48,120.0
1765470328.64,120.0
1765470328.81,118.0
1765470328.97,118.0
1765470329.14,118.0
1765470329.30,118.0
1765470329.47,114.0
1765470329.63,105.0
1765470329.80,105.0
1765470329.96,109.0
1765470330.13,111.0
1765470330.29,114.0
1765470330.46,114.0
1765470330.62,117.0
1765470330.79,123.0
1765470330.95,124.0
1765470331.12,124.0
1765470331.28,121.0
1765470331.44,118.0
1765470331.61,115.0
1765470331.77,112.0
1765470331.94,111.0
1765470332.10,109.0
1765470332.27,107.0
1765470332.43,107.0
1765470332.60,111.0
1765470332.76,114.0
1765470332.93,116.0
1765470333.09,116.0
1765470333.26,114.0
1765470333.42,113.0
1765470333.59,113.0
1765470333.75,113.0
1765470333.92,127.0
1765470334.08,124.0
1765470334.25,125.0
1765470334.41,129.0
1765470334.58,129.0
1765470334.74,132.0
1765470334.91,134.0
1765470335.07,135.0
1765470335.24,120.0
1765470335.40,123.0
1765470335.56,123.0
1765470335.73,122.0
1765470335.89,125.0
1765470336.06,125.0
1765470336.22,127.0
1765470336.39,126.0
